assignment_id,user_id,assistment_id,problem_id,original,correct,attempt_count,ms_first_response,tutor_mode,answer_type,sequence_id,student_class_id,base_sequence_id,skill_id,teacher_id,school_id,hint_count,hint_total,overlap_time,template_id,first_action,bottom_hint,opportunity,opportunity_original
277618,64525,33139,51424,1,1,1,32454,2,1,5948,13241,5948,1,22763,73,0,3,32454,30799,0,2,1,2
277618,64525,33150,51435,1,1,1,4922,2,1,5948,13241,5948,1,22763,73,0,3,4922,30799,0,2,2,388
220674,70363,33159,51444,1,0,2,25390,2,1,5948,11816,5948,1,22763,73,0,3,42000,30799,0,2,1,2
220674,70363,33110,51395,1,1,1,4859,2,1,5948,11816,5948,1,22763,73,0,3,4859,30059,0,2,2,388
220674,70363,33196,51481,1,0,14,19813,2,1,5948,11816,5948,1,22763,73,3,4,124564,30060,0,0,3,499
220674,70363,33172,51457,1,1,1,16031,2,1,5948,11816,5948,1,22763,73,0,4,16031,30060,0,2,4,579
220674,70363,33174,51459,1,1,1,15047,2,1,5948,11816,5948,1,22763,73,0,4,15047,30060,0,2,5,653
220674,70363,33123,51408,1,1,1,10732,2,1,5948,11816,5948,1,22763,73,0,3,10732,30059,0,2,6,695
220674,70677,33168,51453,1,1,1,23241,2,1,5948,11816,5948,1,22763,73,0,4,23241,30060,0,2,1,2
220674,70677,33112,51397,1,1,1,11512,2,1,5948,11816,5948,1,22763,73,0,2,11512,30059,0,2,2,388
277618,70695,33149,51434,1,1,1,14891,2,1,5948,13241,5948,1,22763,73,0,3,14891,30799,0,2,1,2
277618,70695,33188,51473,1,1,1,32844,2,1,5948,13241,5948,1,22763,73,0,4,32844,30060,0,2,2,388
277618,70699,33145,51430,1,1,1,38860,2,1,5948,13241,5948,1,22763,73,0,3,38860,30799,0,2,1,2
277618,70699,33151,51436,1,1,1,6249,2,1,5948,13241,5948,1,22763,73,0,3,6249,30799,0,2,2,388
277618,70707,33136,51421,1,1,1,5710,2,1,5948,13241,5948,1,22763,73,0,3,5710,30059,0,2,1,2
277618,70707,33111,51396,1,1,1,4741,2,1,5948,13241,5948,1,22763,73,0,3,4741,30059,0,2,2,388
277618,70727,33123,51408,1,1,1,13816,2,1,5948,13241,5948,1,22763,73,0,3,13816,30059,0,2,1,2
277618,70727,33117,51402,1,1,1,7441,2,1,5948,13241,5948,1,22763,73,0,3,7441,30059,0,2,2,388
277618,70729,33169,51454,1,0,2,12898,2,1,5948,13241,5948,1,22763,73,0,4,27650,30060,0,2,1,2
277618,70729,33175,51460,1,1,1,10955,2,1,5948,13241,5948,1,22763,73,0,4,10955,30060,0,2,2,388
277618,70729,33140,51425,1,0,2,27857,2,1,5948,13241,5948,1,22763,73,3,3,39933,30799,0,1,3,499
277618,70729,33183,51468,1,1,1,13479,2,1,5948,13241,5948,1,22763,73,0,4,13479,30060,0,2,4,579
277618,70729,33115,51400,1,1,1,5385,2,1,5948,13241,5948,1,22763,73,0,3,5385,30059,0,2,5,653
